净值日期,累计净值
2012-12-18,1.0
2012-12-21,1.0
2012-12-24,1.0
2012-12-25,1.003
2012-12-26,1.004
2012-12-27,1.003
2012-12-28,1.006
2012-12-31,1.013
2013-01-04,1.016
2013-01-11,1.011
2013-01-18,1.023
2013-01-25,1.018
2013-01-31,1.04
2013-02-01,1.057
2013-02-04,1.06
2013-02-05,1.058
2013-02-06,1.067
2013-02-07,1.062
2013-02-08,1.075
2013-02-18,1.068
2013-02-19,1.045
2013-02-20,1.056
2013-02-21,1.027
2013-02-22,1.017
2013-02-25,1.029
2013-02-26,1.01
2013-02-27,1.013
2013-02-28,1.042
2013-03-01,1.04
2013-03-04,0.99
2013-03-05,1.026
2013-03-06,1.047
2013-03-07,1.038
2013-03-08,1.032
2013-03-11,1.02
2013-03-12,1.002
2013-03-13,0.988
2013-03-14,0.996
2013-03-15,1.008
2013-03-18,1.0
2013-03-19,1.01
2013-03-20,1.04
2013-03-21,1.045
2013-03-22,1.056
2013-03-25,1.049
2013-03-26,1.046
2013-03-27,1.047
2013-03-28,1.019
2013-03-29,1.019
2013-04-01,1.012
2013-04-02,0.994
2013-04-03,0.989
2013-04-08,0.992
2013-04-09,1.006
2013-04-10,1.004
2013-04-11,0.989
2013-04-12,0.99
2013-04-15,0.971
2013-04-16,0.981
2013-04-17,0.979
2013-04-18,0.985
2013-04-19,1.007
2013-04-22,0.995
2013-04-23,0.968
2013-04-24,0.984
2013-04-25,0.972
2013-04-26,0.958
2013-05-02,0.959
2013-05-03,0.97
2013-05-06,0.978
2013-05-07,0.976
2013-05-08,0.989
2013-05-09,0.984
2013-05-10,0.986
2013-05-13,0.985
2013-05-14,0.971
2013-05-15,0.977
2013-05-16,0.99
2013-05-17,1.006
2013-05-20,1.022
2013-05-21,1.023
2013-05-22,1.016
2013-05-23,1.003
2013-05-24,1.016
2013-05-27,1.029
2013-05-28,1.041
2013-05-29,1.047
2013-05-30,1.047
2013-05-31,1.035
2013-06-03,1.024
2013-06-04,1.011
2013-06-05,1.01
2013-06-06,0.994
2013-06-07,0.981
2013-06-13,0.961
2013-06-14,0.973
2013-06-17,0.973
2013-06-18,0.968
2013-06-19,0.958
2013-06-20,0.929
2013-06-21,0.93
2013-06-24,0.882
2013-06-25,0.882
2013-06-26,0.886
2013-06-27,0.884
2013-06-28,0.89
2013-06-30,0.89
2013-07-01,0.9
2013-07-02,0.914
2013-07-03,0.912
2013-07-04,0.914
2013-07-05,0.91
2013-07-08,0.892
2013-07-09,0.886
