,基金代码,拼音缩写,基金简称,基金类型,拼音全称
8521,010363,XDAYJXZXLNCYQHH,信达澳银匠心臻选两年持有期混合,混合型,XINDAAOYINJIANGXINZHENXUANLIANGNIANCHIYOUQIHUNHE
8522,010364,PHKTJGZSLOFC,鹏华空天军工指数(LOF)C,股票指数,PENGHUAKONGTIANJUNGONGZHISHULOFC
8523,010365,PHXGYHZSLOFC,鹏华香港银行指数(LOF)C,股票指数,PENGHUAXIANGGANGYINHANGZHISHULOFC
8524,010366,PHZZYYWSLOFC,鹏华中证医药卫生(LOF)C,股票指数,PENGHUAZHONGZHENGYIYAOWEISHENGLOFC
8525,010367,ZRJRYNCYHHA,中融景瑞一年持有混合A,混合型,ZHONGRONGJINGRUIYINIANCHIYOUHUNHEA
8526,010368,ZRJRYNCYHHC,中融景瑞一年持有混合C,混合型,ZHONGRONGJINGRUIYINIANCHIYOUHUNHEC
8527,010369,DCZXYNCYHHA,大成卓享一年持有混合A,混合型,DACHENGZHUOXIANGYINIANCHIYOUHUNHEA
8528,010370,DCZXYNCYHHC,大成卓享一年持有混合C,混合型,DACHENGZHUOXIANGYINIANCHIYOUHUNHEC
8529,010371,DCCZJQHHA,大成成长进取混合A,混合型,DACHENGCHENGZHANGJINQUHUNHEA
8530,010372,DCCZJQHHC,大成成长进取混合C,混合型,DACHENGCHENGZHANGJINQUHUNHEC
8531,010373,XBLDJXYNDKHHA,西部利得聚兴一年定开混合A,混合型,XIBULIDEJUXINGYINIANDINGKAIHUNHEA
8532,010374,XBLDJXYNDKHHC,西部利得聚兴一年定开混合C,混合型,XIBULIDEJUXINGYINIANDINGKAIHUNHEC
8533,010375,GJXYJJXDNA,国金鑫悦经济新动能A,混合型,GUOJINXINYUEJINGJIXINDONGNENGA
8534,010376,GJXYJJXDNC,国金鑫悦经济新动能C,混合型,GUOJINXINYUEJINGJIXINDONGNENGC
8535,010377,GFJZHXHHA,广发价值核心混合A,混合型,GUANGFAJIAZHIHEXINHUNHEA
8536,010378,GFJZHXHHC,广发价值核心混合C,混合型,GUANGFAJIAZHIHEXINHUNHEC
8537,010379,GFJHYXHHA,广发均衡优选混合A,混合型,GUANGFAJUNHENGYOUXUANHUNHEA
8538,010380,GFJHYXHHC,广发均衡优选混合C,混合型,GUANGFAJUNHENGYOUXUANHUNHEC
8539,010381,ZSZXJZHHA,浙商智选价值混合A,混合型,ZHESHANGZHIXUANJIAZHIHUNHEA
8540,010382,ZSZXJZHHC,浙商智选价值混合C,混合型,ZHESHANGZHIXUANJIAZHIHUNHEC
8541,010383,BYJCCYHHA,宝盈基础产业混合A,混合型,BAOYINGJICHUCHANYEHUNHEA
8542,010384,BYJCCYHHC,宝盈基础产业混合C,混合型,BAOYINGJICHUCHANYEHUNHEC
8543,010385,HAHJJXHHA,华安汇嘉精选混合A,混合型,HUAANHUIJIAJINGXUANHUNHEA
8544,010386,HAHJJXHHC,华安汇嘉精选混合C,混合型,HUAANHUIJIAJINGXUANHUNHEC
8545,010387,YFDYYSWGPA,易方达医药生物股票A,股票型,YIFANGDAYIYAOSHENGWUGUPIAOA
8546,010388,YFDYYSWGPC,易方达医药生物股票C,股票型,YIFANGDAYIYAOSHENGWUGUPIAOC
8547,010389,YFDKYHHA,易方达科益混合A,混合型,YIFANGDAKEYIHUNHEA
8548,010390,YFDKYHHC,易方达科益混合C,混合型,YIFANGDAKEYIHUNHEC
8549,010391,YFDZLXXCYGPA,易方达战略新兴产业股票A,股票型,YIFANGDAZHANLUEXINXINGCHANYEGUPIAOA
8550,010392,YFDZLXXCYGPC,易方达战略新兴产业股票C,股票型,YIFANGDAZHANLUEXINXINGCHANYEGUPIAOC
8551,010393,GYJKSHHHA,工银健康生活混合A,混合型,GONGYINJIANKANGSHENGHUOHUNHEA
8552,010394,GYJKSHHHC,工银健康生活混合C,混合型,GONGYINJIANKANGSHENGHUOHUNHEC
8553,010395,RTWJTYLHPZHHA,融通稳健添盈灵活配置混合A,混合型,RONGTONGWENJIANTIANYINGLINGHUOPEIZHIHUNHEA
8554,010396,RTWJTYLHPZHHC,融通稳健添盈灵活配置混合C,混合型,RONGTONGWENJIANTIANYINGLINGHUOPEIZHIHUNHEC
8555,010397,ZJRHCZZQ,中加瑞合纯债债券,债券型,ZHONGJIARUIHECHUNZHAIZHAIQUAN
8556,010398,ZJKXHHA,中加科享混合A,混合型,ZHONGJIAKEXIANGHUNHEA
8557,010399,ZJKXHHC,中加科享混合C,混合型,ZHONGJIAKEXIANGHUNHEC
8558,010400,FGRTSGYDKHHFQS,富国融泰三个月定开混合发起式,混合型,FUGUORONGTAISANGEYUEDINGKAIHUNHEFAQISHI
8559,010401,XHAKDYSYYNCYA,新华安康多元收益一年持有A,混合型,XINHUAANKANGDUOYUANSHOUYIYINIANCHIYOUA
8560,010402,XHAKDYSYYNCYC,新华安康多元收益一年持有C,混合型,XINHUAANKANGDUOYUANSHOUYIYINIANCHIYOUC
8561,010403,HSJQYXHH,华商景气优选混合,混合型,HUASHANGJINGQIYOUXUANHUNHE
8562,010404,BDSL6GYCYQHH,博道盛利6个月持有期混合,混合型,BODAOSHENGLI6GEYUECHIYOUQIHUNHE
8563,010405,HSYYJK6GYCYQHH,惠升医药健康6个月持有期混合,混合型,HUISHENGYIYAOJIANKANG6GEYUECHIYOUQIHUNHE
8564,010406,AXZZ13NZCXJRZA,安信中债1-3年政策性金融债A,债券指数,ANXINZHONGZHAI13NIANZHENGCEXINGJINRONGZHAIA
8565,010407,AXZZ13NZCXJRZC,安信中债1-3年政策性金融债C,债券指数,ANXINZHONGZHAI13NIANZHENGCEXINGJINRONGZHAIC
8566,010408,AXHY6GYCYHH,安信浩盈6个月持有混合,混合型,ANXINHAOYING6GEYUECHIYOUHUNHE
8567,010409,FGXFJX30GP,富国消费精选30股票,股票型,FUGUOXIAOFEIJINGXUAN30GUPIAO
8568,010410,CCPZCZHHA,长城品质成长混合A,混合型,CHANGCHENGPINZHICHENGZHANGHUNHEA
8569,010411,CCPZCZHHC,长城品质成长混合C,混合型,CHANGCHENGPINZHICHENGZHANGHUNHEC
8570,010412,HAJHYXHH,汇安均衡优选混合,混合型,HUIANJUNHENGYOUXUANHUNHE
8571,010413,CTZGCRYNCYHHA,财通资管宸瑞一年持有混合A,混合型,CAITONGZIGUANCHENRUIYINIANCHIYOUHUNHEA
8572,010414,CTZGCRYNCYHHC,财通资管宸瑞一年持有混合C,混合型,CAITONGZIGUANCHENRUIYINIANCHIYOUHUNHEC
8573,010415,HTBRZLJXHHA,华泰柏瑞质量精选混合A,混合型,HUATAIBAIRUIZHILIANGJINGXUANHUNHEA
8574,010416,HTBRZLJXHHC,华泰柏瑞质量精选混合C,混合型,HUATAIBAIRUIZHILIANGJINGXUANHUNHEC
8575,010417,ZSSY3GYDKHH,招商盛洋3个月定开混合,混合型,ZHAOSHANGSHENGYANG3GEYUEDINGKAIHUNHE
8576,010418,CTJQHYYNFBHH,财通景气行业一年封闭混合,混合型,CAITONGJINGQIHANGYEYINIANFENGBIHUNHE
8577,010419,SWLXZZHBCYZSLOFC,申万菱信中证环保产业指数(LOF)C,股票指数,SHENWANLINGXINZHONGZHENGHUANBAOCHANYEZHISHULOFC
8578,010420,MSJYCZYXGP,民生加银成长优选股票,股票型,MINSHENGJIAYINCHENGZHANGYOUXUANGUPIAO
8579,010421,HFTXFYXHHA,海富通消费优选混合A,混合型,HAIFUTONGXIAOFEIYOUXUANHUNHEA
8580,010422,HFTXFYXHHC,海富通消费优选混合C,混合型,HAIFUTONGXIAOFEIYOUXUANHUNHEC
8581,010423,GTRYJZCZYNCYHHA,国投瑞银价值成长一年持有混合A,混合型,GUOTOURUIYINJIAZHICHENGZHANGYINIANCHIYOUHUNHEA
8582,010424,GTRYJZCZYNCYHHC,国投瑞银价值成长一年持有混合C,混合型,GUOTOURUIYINJIAZHICHENGZHANGYINIANCHIYOUHUNHEC
8583,010425,GTRYKFSJJXHHA,国投瑞银开放视角精选混合A,混合型,GUOTOURUIYINKAIFANGSHIJIAOJINGXUANHUNHEA
8584,010426,GTRYKFSJJXHHC,国投瑞银开放视角精选混合C,混合型,GUOTOURUIYINKAIFANGSHIJIAOJINGXUANHUNHEC
8585,010427,XYCLZXHHA,兴银策略智选混合A,混合型,XINGYINCELUEZHIXUANHUNHEA
