净值日期,单位净值,日增长率
2012-12-18,1.0,0.0
2012-12-21,1.0,0.0
2012-12-24,1.0,0.0
2012-12-25,1.003,0.3
2012-12-26,1.004,0.0997
2012-12-27,1.003,-0.0996
2012-12-28,1.006,0.2991
2012-12-31,1.013,0.6958
2013-01-04,1.016,0.2962
2013-01-11,1.011,-0.4921
2013-01-18,1.023,1.1869
2013-01-25,1.018,-0.4888
2013-01-31,1.04,2.1611
2013-02-01,1.057,1.6346
2013-02-04,1.06,0.2838
2013-02-05,1.058,-0.1887
2013-02-06,1.067,0.8507
2013-02-07,1.062,-0.4686
2013-02-08,1.075,1.2241
2013-02-18,1.068,-0.6512
2013-02-19,1.045,-2.1536
2013-02-20,1.056,1.0526
2013-02-21,1.027,-2.7462
2013-02-22,1.017,-0.9737
2013-02-25,1.029,1.1799
2013-02-26,1.01,-1.8465
2013-02-27,1.013,0.297
2013-02-28,1.042,2.8628
2013-03-01,1.04,-0.1919
2013-03-04,0.99,-4.8077
2013-03-05,1.026,3.6364
2013-03-06,1.047,2.0468
2013-03-07,1.038,-0.8596
2013-03-08,1.032,-0.578
2013-03-11,1.02,-1.1628
2013-03-12,1.002,-1.7647
2013-03-13,0.988,-1.3972
2013-03-14,0.996,0.8097
2013-03-15,1.008,1.2048
2013-03-18,1.0,-0.7937
2013-03-19,1.01,1.0
2013-03-20,1.04,2.9703
2013-03-21,1.045,0.4808
2013-03-22,1.056,1.0526
2013-03-25,1.049,-0.6629
2013-03-26,1.046,-0.286
2013-03-27,1.047,0.0956
2013-03-28,1.019,-2.6743
2013-03-29,1.019,0.0
2013-04-01,1.012,-0.6869
2013-04-02,0.994,-1.7787
2013-04-03,0.989,-0.503
2013-04-08,0.992,0.3033
2013-04-09,1.006,1.4113
2013-04-10,1.004,-0.1988
2013-04-11,0.989,-1.494
2013-04-12,0.99,0.1011
2013-04-15,0.971,-1.9192
2013-04-16,0.981,1.0299
2013-04-17,0.979,-0.2039
2013-04-18,0.985,0.6129
2013-04-19,1.007,2.2335
2013-04-22,0.995,-1.1917
2013-04-23,0.968,-2.7136
2013-04-24,0.984,1.6529
2013-04-25,0.972,-1.2195
2013-04-26,0.958,-1.4403
2013-05-02,0.959,0.1044
2013-05-03,0.97,1.147
2013-05-06,0.978,0.8247
2013-05-07,0.976,-0.2045
2013-05-08,0.989,1.332
2013-05-09,0.984,-0.5056
2013-05-10,0.986,0.2033
2013-05-13,0.985,-0.1014
2013-05-14,0.971,-1.4213
2013-05-15,0.977,0.6179
2013-05-16,0.99,1.3306
2013-05-17,1.006,1.6162
2013-05-20,1.022,1.5905
2013-05-21,1.023,0.0978
2013-05-22,1.016,-0.6843
2013-05-23,1.003,-1.2795
2013-05-24,1.016,1.2961
2013-05-27,1.029,1.2795
2013-05-28,1.041,1.1662
2013-05-29,1.047,0.5764
2013-05-30,1.047,0.0
2013-05-31,1.035,-1.1461
2013-06-03,1.024,-1.0628
2013-06-04,1.011,-1.2695
2013-06-05,1.01,-0.0989
2013-06-06,0.994,-1.5842
2013-06-07,0.981,-1.3078
2013-06-13,0.961,-2.0387
2013-06-14,0.973,1.2487
2013-06-17,0.973,0.0
2013-06-18,0.968,-0.5139
2013-06-19,0.958,-1.0331
2013-06-20,0.929,-3.0271
2013-06-21,0.93,0.1076
2013-06-24,0.882,-5.1613
2013-06-25,0.882,0.0
2013-06-26,0.886,0.4535
2013-06-27,0.884,-0.2257
2013-06-28,0.89,0.6787
2013-06-30,0.89,0.0
2013-07-01,0.9,1.1236
2013-07-02,0.914,1.5556
2013-07-03,0.912,-0.2188
2013-07-04,0.914,0.2193
2013-07-05,0.91,-0.4376
2013-07-08,0.892,-1.978
