净值日期,累计净值
2013-08-07,1.0
2013-08-09,1.003
2013-08-16,0.982
2013-08-23,0.995
2013-08-30,0.985
2013-09-06,0.99
2013-09-13,0.991
2013-09-18,0.988
2013-09-27,1.007
2013-09-30,1.011
2013-10-11,1.032
2013-10-18,1.019
2013-10-25,1.009
2013-11-01,0.994
2013-11-07,0.977
2013-11-08,0.97
2013-11-11,0.979
2013-11-12,0.987
2013-11-13,0.977
2013-11-14,0.996
2013-11-15,1.006
2013-11-18,1.016
2013-11-19,1.01
2013-11-20,1.015
2013-11-21,1.012
2013-11-22,1.007
2013-11-25,1.013
2013-11-26,1.01
2013-11-27,1.014
2013-11-28,1.023
2013-11-29,1.032
2013-12-02,0.99
2013-12-03,1.012
2013-12-04,1.026
2013-12-05,1.028
2013-12-06,1.02
2013-12-09,1.029
2013-12-10,1.033
2013-12-11,1.022
2013-12-12,1.03
2013-12-13,1.037
2013-12-16,1.017
2013-12-17,1.005
2013-12-18,1.013
2013-12-19,1.008
2013-12-20,1.0
2013-12-23,1.014
2013-12-24,1.017
2013-12-25,1.036
2013-12-26,1.03
2013-12-27,1.039
2013-12-30,1.042
2013-12-31,1.047
2014-01-02,1.058
2014-01-03,1.059
2014-01-06,1.044
2014-01-07,1.05
2014-01-08,1.054
2014-01-09,1.036
2014-01-10,1.01
2014-01-13,1.001
2014-01-14,1.02
2014-01-15,1.027
2014-01-16,1.036
2014-01-17,1.018
2014-01-20,1.009
2014-01-21,1.015
2014-01-22,1.034
2014-01-23,1.043
2014-01-24,1.057
2014-01-27,1.063
2014-01-28,1.065
2014-01-29,1.086
2014-01-30,1.086
2014-02-07,1.099
2014-02-10,1.141
2014-02-11,1.132
2014-02-12,1.117
2014-02-13,1.104
2014-02-14,1.126
2014-02-17,1.141
2014-02-18,1.146
2014-02-19,1.148
2014-02-20,1.133
2014-02-21,1.146
2014-02-24,1.194
2014-02-25,1.173
2014-02-26,1.187
2014-02-27,1.142
2014-02-28,1.14
2014-03-03,1.166
2014-03-04,1.179
2014-03-05,1.181
2014-03-06,1.186
2014-03-07,1.183
2014-03-10,1.159
2014-03-11,1.156
2014-03-12,1.135
2014-03-13,1.163
2014-03-14,1.171
2014-03-17,1.189
2014-03-18,1.2
2014-03-19,1.212
2014-03-20,1.217
2014-03-21,1.211
2014-03-24,1.202
2014-03-25,1.187
2014-03-26,1.202
2014-03-27,1.183
2014-03-28,1.15
2014-03-31,1.128
2014-04-01,1.14
2014-04-02,1.133
2014-04-03,1.133
2014-04-04,1.135
2014-04-08,1.14
2014-04-09,1.156
2014-04-10,1.159
2014-04-11,1.152
2014-04-14,1.158
2014-04-15,1.159
2014-04-16,1.164
2014-04-17,1.167
2014-04-18,1.168
2014-04-21,1.156
2014-04-22,1.14
2014-04-23,1.136
2014-04-24,1.137
2014-04-25,1.129
2014-04-28,1.104
2014-04-29,1.11
2014-04-30,1.114
2014-05-05,1.126
2014-05-06,1.14
2014-05-07,1.127
2014-05-08,1.109
2014-05-09,1.103
2014-05-12,1.112
2014-05-13,1.119
2014-05-14,1.12
2014-05-15,1.116
2014-05-16,1.114
2014-05-19,1.111
2014-05-20,1.117
2014-05-21,1.129
2014-05-22,1.13
2014-05-23,1.135
2014-05-26,1.156
2014-05-27,1.148
2014-05-28,1.161
2014-05-29,1.153
2014-05-30,1.153
2014-06-03,1.149
2014-06-04,1.147
2014-06-05,1.153
2014-06-06,1.152
2014-06-09,1.137
2014-06-10,1.15
2014-06-11,1.157
2014-06-12,1.152
2014-06-13,1.157
2014-06-16,1.163
2014-06-17,1.145
2014-06-18,1.132
2014-06-19,1.127
2014-06-20,1.142
2014-06-23,1.167
2014-06-24,1.172
2014-06-25,1.164
2014-06-26,1.183
2014-06-27,1.179
2014-06-30,1.208
2014-07-01,1.197
2014-07-02,1.202
2014-07-03,1.23
2014-07-04,1.231
2014-07-07,1.222
2014-07-08,1.222
2014-07-09,1.207
2014-07-10,1.21
2014-07-11,1.199
2014-07-14,1.209
2014-07-15,1.197
2014-07-16,1.184
2014-07-17,1.181
2014-07-18,1.175
2014-07-21,1.176
2014-07-22,1.191
2014-07-23,1.175
2014-07-24,1.164
2014-07-25,1.163
2014-07-28,1.171
2014-07-29,1.183
2014-07-30,1.185
2014-07-31,1.192
2014-08-01,1.173
2014-08-04,1.184
2014-08-05,1.191
2014-08-06,1.196
2014-08-07,1.19
2014-08-08,1.19
2014-08-11,1.205
2014-08-12,1.213
2014-08-13,1.217
2014-08-14,1.212
2014-08-15,1.213
2014-08-18,1.223
2014-08-19,1.224
2014-08-20,1.223
2014-08-21,1.221
2014-08-22,1.236
2014-08-25,1.257
2014-08-26,1.237
2014-08-27,1.263
2014-08-28,1.248
2014-08-29,1.26
2014-09-01,1.277
2014-09-02,1.294
2014-09-03,1.302
2014-09-04,1.317
2014-09-05,1.343
2014-09-09,1.362
2014-09-10,1.373
2014-09-11,1.355
2014-09-12,1.364
2014-09-15,1.359
2014-09-16,1.315
2014-09-17,1.334
2014-09-18,1.349
2014-09-19,1.387
2014-09-22,1.367
2014-09-23,1.36
2014-09-24,1.359
2014-09-25,1.363
2014-09-26,1.365
2014-09-29,1.382
2014-09-30,1.403
2014-10-08,1.418
2014-10-09,1.41
2014-10-10,1.402
2014-10-13,1.398
2014-10-14,1.394
2014-10-15,1.397
2014-10-16,1.383
2014-10-17,1.369
2014-10-20,1.383
2014-10-21,1.372
2014-10-22,1.36
2014-10-23,1.34
2014-10-24,1.347
2014-10-27,1.384
2014-10-28,1.422
2014-10-29,1.427
2014-10-30,1.433
2014-10-31,1.452
2014-11-03,1.467
2014-11-04,1.446
2014-11-05,1.456
2014-11-06,1.454
2014-11-07,1.447
2014-11-10,1.461
2014-11-11,1.424
2014-11-12,1.44
2014-11-13,1.412
2014-11-14,1.418
2014-11-17,1.445
2014-11-18,1.452
2014-11-19,1.462
2014-11-20,1.469
2014-11-21,1.479
2014-11-24,1.494
2014-11-25,1.533
2014-11-26,1.535
2014-11-27,1.578
2014-11-28,1.598
2014-12-01,1.588
2014-12-02,1.575
2014-12-03,1.549
2014-12-04,1.57
2014-12-05,1.528
2014-12-08,1.474
2014-12-09,1.432
2014-12-10,1.45
2014-12-11,1.437
2014-12-12,1.466
2014-12-15,1.519
2014-12-16,1.51
2014-12-17,1.517
2014-12-18,1.493
2014-12-19,1.463
2014-12-22,1.38
2014-12-23,1.368
2014-12-24,1.409
2014-12-25,1.401
2014-12-26,1.405
2014-12-29,1.356
2014-12-30,1.359
2014-12-31,1.385
2015-01-05,1.372
2015-01-06,1.41
2015-01-07,1.402
2015-01-08,1.407
2015-01-09,1.387
2015-01-12,1.381
2015-01-13,1.41
2015-01-14,1.427
2015-01-15,1.416
2015-01-16,1.431
2015-01-19,1.398
2015-01-20,1.437
2015-01-21,1.442
2015-01-22,1.464
2015-01-23,1.44
2015-01-26,1.475
2015-01-27,1.494
2015-01-28,1.472
2015-01-29,1.451
2015-01-30,1.442
2015-02-02,1.444
2015-02-03,1.484
2015-02-04,1.481
2015-02-05,1.492
2015-02-06,1.456
2015-02-09,1.447
2015-02-10,1.459
2015-02-11,1.499
2015-02-12,1.515
2015-02-13,1.532
2015-02-16,1.579
2015-02-17,1.578
2015-02-25,1.541
2015-02-26,1.544
2015-02-27,1.567
2015-03-02,1.62
2015-03-03,1.616
2015-03-04,1.704
2015-03-05,1.709
2015-03-06,1.648
2015-03-09,1.678
2015-03-10,1.727
2015-03-11,1.678
2015-03-12,1.657
2015-03-13,1.7
2015-03-16,1.789
2015-03-17,1.79
2015-03-18,1.82
2015-03-19,1.793
2015-03-20,1.811
2015-03-23,1.862
2015-03-24,1.893
2015-03-25,1.901
2015-03-26,1.856
2015-03-27,1.905
2015-03-30,1.822
2015-03-31,1.843
2015-04-01,1.91
2015-04-02,1.944
2015-04-03,2.019
2015-04-07,2.075
2015-04-08,2.013
2015-04-09,2.114
2015-04-10,2.204
2015-04-13,2.305
2015-04-14,2.331
2015-04-15,2.273
2015-04-16,2.339
2015-04-17,2.242
2015-04-20,2.223
2015-04-21,2.305
2015-04-22,2.389
2015-04-23,2.472
2015-04-24,2.482
2015-04-27,2.503
2015-04-28,2.453
2015-04-29,2.536
2015-04-30,2.59
2015-05-04,2.545
2015-05-05,2.527
2015-05-06,2.558
2015-05-07,2.552
2015-05-08,2.71
2015-05-11,2.889
2015-05-12,2.978
2015-05-13,2.97
2015-05-14,2.904
2015-05-15,2.919
2015-05-18,3.082
2015-05-19,3.111
2015-05-20,3.213
2015-05-21,3.354
2015-05-22,3.35
2015-05-25,3.396
2015-05-26,3.474
2015-05-27,3.463
2015-05-28,3.298
2015-05-29,3.294
2015-06-01,3.4
2015-06-02,3.463
2015-06-03,3.412
2015-06-04,3.397
2015-06-05,3.412
2015-06-08,3.322
2015-06-09,3.199
2015-06-10,3.214
2015-06-11,3.302
2015-06-12,3.314
2015-06-15,3.184
2015-06-16,3.071
2015-06-17,3.094
2015-06-18,3.015
2015-06-19,2.923
2015-06-23,2.956
2015-06-24,2.999
2015-06-25,2.951
2015-06-26,2.711
2015-06-29,2.447
2015-06-30,2.526
2015-07-01,2.366
2015-07-02,2.27
2015-07-03,2.212
2015-07-06,2.057
2015-07-07,1.929
2015-07-08,1.834
2015-07-09,1.98
2015-07-10,2.109
2015-07-13,2.2
2015-07-14,2.229
2015-07-15,2.154
2015-07-16,2.16
2015-07-17,2.233
2015-07-20,2.263
2015-07-21,2.295
2015-07-22,2.352
2015-07-23,2.414
2015-07-24,2.358
2015-07-27,2.213
2015-07-28,2.174
2015-07-29,2.268
2015-07-30,2.211
2015-07-31,2.17
2015-08-03,2.081
2015-08-04,2.142
2015-08-05,2.136
2015-08-06,2.126
2015-08-07,2.155
2015-08-10,2.236
2015-08-11,2.232
2015-08-12,2.224
2015-08-13,2.23
2015-08-14,2.272
2015-08-17,2.32
2015-08-18,2.105
2015-08-19,2.144
2015-08-20,2.037
2015-08-21,1.95
2015-08-24,1.831
2015-08-25,1.738
2015-08-26,1.734
2015-08-27,1.807
2015-08-28,1.879
2015-08-31,1.859
2015-09-01,1.778
2015-09-02,1.751
2015-09-07,1.731
2015-09-08,1.766
2015-09-09,1.791
2015-09-10,1.791
2015-09-11,1.788
2015-09-14,1.655
2015-09-15,1.588
2015-09-16,1.699
2015-09-17,1.673
2015-09-18,1.712
2015-09-21,1.804
2015-09-22,1.829
2015-09-23,1.817
2015-09-24,1.845
2015-09-25,1.759
2015-09-28,1.865
2015-09-29,1.848
2015-09-30,1.814
2015-10-08,1.874
2015-10-09,1.882
2015-10-12,1.948
2015-10-13,1.983
2015-10-14,1.916
2015-10-15,1.993
2015-10-16,2.0
2015-10-19,1.996
2015-10-20,2.022
2015-10-21,1.904
2015-10-22,2.037
2015-10-23,2.155
2015-10-26,2.129
2015-10-27,2.193
2015-10-28,2.103
2015-10-29,2.106
2015-10-30,2.06
2015-11-02,2.006
2015-11-03,1.995
