净值日期,单位净值,日增长率
2020-10-27,1.0,0.0
2020-10-28,0.993,-0.7
2020-10-29,0.9901,-0.29
2020-10-30,0.973,-1.73
2020-11-02,0.9746,0.16
2020-11-03,1.0064,3.26
2020-11-04,1.018,1.15
2020-11-05,1.015,-0.29
2020-11-06,0.9955,-1.92
2020-11-09,1.0151,1.97
2020-11-10,0.998,-1.68
2020-11-11,0.9765,-2.15
2020-11-12,0.9703,-0.63
2020-11-13,0.9992,2.98
2020-11-16,0.9997,0.05
2020-11-17,0.9781,-2.16
2020-11-18,0.9872,0.93
2020-11-19,1.036,4.94
2020-11-20,1.0503,1.38
2020-11-23,1.053,0.26
2020-11-24,1.0595,0.62
2020-11-25,1.0284,-2.94
2020-11-26,1.0521,2.3
2020-11-27,1.0714,1.83
2020-11-30,1.0773,0.55
2020-12-01,1.1045,2.52
2020-12-02,1.1099,0.49
2020-12-03,1.0884,-1.94
2020-12-04,1.1038,1.41
2020-12-07,1.1031,-0.06
2020-12-08,1.0966,-0.59
2020-12-09,1.0674,-2.66
2020-12-10,1.0727,0.5
2020-12-11,1.0478,-2.32
2020-12-14,1.0712,2.23
2020-12-15,1.0715,0.03
2020-12-16,1.0699,-0.15
2020-12-17,1.0591,-1.01
2020-12-18,1.0599,0.08
2020-12-21,1.1115,4.87
2020-12-22,1.0953,-1.46
2020-12-23,1.1564,5.58
2020-12-24,1.168,1.0
2020-12-25,1.1905,1.93
2020-12-28,1.1929,0.2
2020-12-29,1.1756,-1.45
2020-12-30,1.2121,3.1
2020-12-31,1.2649,4.36
2021-01-04,1.3497,6.7
2021-01-05,1.3605,0.8
2021-01-06,1.37,0.7
2021-01-07,1.4057,2.61
2021-01-08,1.3659,-2.83
2021-01-11,1.3196,-3.39
2021-01-12,1.3656,3.49
2021-01-13,1.3405,-1.84
2021-01-14,1.2635,-5.74
2021-01-15,1.2588,-0.37
2021-01-18,1.2851,2.09
2021-01-19,1.2548,-2.36
2021-01-20,1.2852,2.42
2021-01-21,1.3006,1.2
2021-01-22,1.3149,1.1
2021-01-25,1.3198,0.37
2021-01-26,1.2263,-7.08
2021-01-27,1.228,0.14
2021-01-28,1.2096,-1.5
2021-01-29,1.1713,-3.17
2021-02-01,1.1658,-0.47
2021-02-02,1.188,1.9
2021-02-03,1.1485,-3.32
2021-02-04,1.1296,-1.65
2021-02-05,1.1033,-2.33
2021-02-08,1.11,0.61
2021-02-09,1.1791,6.23
2021-02-10,1.1747,-0.37
2021-02-18,1.1598,-1.27
2021-02-19,1.1547,-0.44
2021-02-22,1.1104,-3.84
2021-02-23,1.1452,3.13
2021-02-24,1.1442,-0.09
2021-02-25,1.172,2.43
2021-02-26,1.1289,-3.68
2021-03-01,1.1505,1.91
2021-03-02,1.1558,0.46
2021-03-03,1.1545,-0.11
2021-03-04,1.1278,-2.31
2021-03-05,1.0997,-2.49
2021-03-08,1.0123,-7.95
2021-03-09,0.958,-5.36
2021-03-10,0.9552,-0.29
2021-03-11,0.9727,1.83
2021-03-12,0.9661,-0.68
2021-03-15,0.9559,-1.06
2021-03-16,0.9528,-0.32
2021-03-17,0.9693,1.73
2021-03-18,0.9855,1.67
2021-03-19,0.994,0.86
2021-03-22,1.0009,0.69
2021-03-23,0.9937,-0.72
2021-03-24,0.9717,-2.21
2021-03-25,0.9785,0.7
2021-03-26,0.9965,1.84
2021-03-29,1.0168,2.04
2021-03-30,1.0435,2.63
2021-03-31,0.9952,-4.63
2021-04-01,1.0037,0.85
2021-04-02,1.0075,0.38
2021-04-06,1.0143,0.67
2021-04-07,1.0046,-0.96
2021-04-08,1.0069,0.23
2021-04-09,1.0163,0.93
2021-04-12,0.977,-3.87
2021-04-13,0.9768,-0.02
2021-04-14,0.9928,1.64
2021-04-15,0.9878,-0.5
2021-04-16,0.9848,-0.3
2021-04-19,0.9984,1.38
2021-04-20,0.9924,-0.6
2021-04-21,0.9858,-0.67
2021-04-22,0.9859,0.01
2021-04-23,0.9847,-0.12
2021-04-26,0.9861,0.14
2021-04-27,0.9757,-1.05
2021-04-28,0.9881,1.27
2021-04-29,0.9873,-0.08
2021-04-30,0.9504,-3.74
2021-05-06,0.9643,1.46
2021-05-07,0.9457,-1.93
2021-05-10,0.9302,-1.64
2021-05-11,0.9545,2.61
2021-05-12,0.95,-0.47
2021-05-13,0.9448,-0.55
2021-05-14,0.986,4.36
2021-05-17,0.9984,1.26
2021-05-18,1.0209,2.25
2021-05-19,1.0236,0.26
2021-05-20,1.0253,0.17
2021-05-21,1.0032,-2.16
2021-05-24,1.0129,0.97
2021-05-25,1.051,3.76
2021-05-26,1.0499,-0.1
2021-05-27,1.0613,1.09
2021-05-28,1.0665,0.49
2021-05-31,1.1041,3.53
2021-06-01,1.0955,-0.78
2021-06-02,1.071,-2.24
2021-06-03,1.0536,-1.62
2021-06-04,1.0627,0.86
2021-06-07,1.0796,1.59
2021-06-08,1.0917,1.12
2021-06-09,1.1019,0.93
2021-06-10,1.1014,-0.05
2021-06-11,1.0589,-3.86
2021-06-15,1.0574,-0.14
2021-06-16,1.0428,-1.38
2021-06-17,1.0545,1.12
2021-06-18,1.0817,2.58
2021-06-21,1.1322,4.67
2021-06-22,1.1272,-0.44
2021-06-23,1.1295,0.2
2021-06-24,1.1109,-1.65
2021-06-25,1.117,0.55
2021-06-28,1.1234,0.57
2021-06-29,1.1,-2.08
2021-06-30,1.1214,1.95
2021-07-01,1.0732,-4.3
2021-07-02,1.029,-4.12
2021-07-05,1.0329,0.38
2021-07-06,1.0366,0.36
2021-07-07,1.0819,4.37
