净值日期,累计净值
2020-10-12,1.0
2020-10-16,0.9994
2020-10-23,1.0001
2020-10-30,1.001
2020-11-06,1.0279
2020-11-13,1.0199
2020-11-16,1.0218
2020-11-17,1.0199
2020-11-18,1.0242
2020-11-19,1.0277
2020-11-20,1.0323
2020-11-23,1.0366
2020-11-24,1.0331
2020-11-25,1.025
2020-11-26,1.0253
2020-11-27,1.0293
2020-11-30,1.0206
2020-12-01,1.031
2020-12-02,1.0206
2020-12-03,1.0202
2020-12-04,1.0223
2020-12-07,1.015
2020-12-08,1.0196
2020-12-09,1.0103
2020-12-10,1.0106
2020-12-11,1.011
2020-12-14,1.0165
2020-12-15,1.0216
2020-12-16,1.0281
2020-12-17,1.0332
2020-12-18,1.0338
2020-12-21,1.0445
2020-12-22,1.0362
2020-12-23,1.0608
2020-12-24,1.0609
2020-12-25,1.0631
2020-12-28,1.0689
2020-12-29,1.0668
2020-12-30,1.0983
2020-12-31,1.1184
2021-01-04,1.1434
2021-01-05,1.153
2021-01-06,1.1565
2021-01-07,1.1697
2021-01-08,1.1951
2021-01-11,1.2143
2021-01-12,1.2295
2021-01-13,1.2152
2021-01-14,1.2093
2021-01-15,1.2001
2021-01-18,1.2351
2021-01-19,1.2461
2021-01-20,1.27
2021-01-21,1.2863
2021-01-22,1.2973
2021-01-25,1.3356
2021-01-26,1.2886
2021-01-27,1.2806
2021-01-28,1.2359
2021-01-29,1.2393
2021-02-01,1.2786
2021-02-02,1.3036
2021-02-03,1.3065
2021-02-04,1.2848
2021-02-05,1.2853
2021-02-08,1.3019
2021-02-09,1.3326
2021-02-10,1.3736
2021-02-18,1.3445
2021-02-19,1.3393
2021-02-22,1.2706
2021-02-23,1.2603
2021-02-24,1.2159
2021-02-25,1.2225
2021-02-26,1.1838
2021-03-01,1.2183
2021-03-02,1.2062
2021-03-03,1.2253
2021-03-04,1.1715
2021-03-05,1.1687
2021-03-08,1.1116
2021-03-09,1.1001
2021-03-10,1.1183
2021-03-11,1.148
2021-03-12,1.1261
2021-03-15,1.1015
2021-03-16,1.1177
2021-03-17,1.1179
2021-03-18,1.1384
2021-03-19,1.1108
2021-03-22,1.1072
2021-03-23,1.0905
2021-03-24,1.0646
2021-03-25,1.0686
2021-03-26,1.0944
2021-03-29,1.0762
2021-03-30,1.0939
2021-03-31,1.0896
2021-04-01,1.1338
2021-04-02,1.1393
2021-04-06,1.1348
2021-04-07,1.1154
2021-04-08,1.1228
2021-04-09,1.1079
2021-04-12,1.0847
2021-04-13,1.076
2021-04-14,1.0977
2021-04-15,1.1009
2021-04-16,1.1108
2021-04-19,1.1509
2021-04-20,1.1548
2021-04-21,1.1391
2021-04-22,1.1502
2021-04-23,1.1625
2021-04-26,1.1546
2021-04-27,1.1569
2021-04-28,1.17
2021-04-29,1.1673
2021-04-30,1.1557
2021-05-06,1.1284
2021-05-07,1.0972
2021-05-10,1.0905
2021-05-11,1.072
2021-05-12,1.0847
2021-05-13,1.0633
2021-05-14,1.0755
2021-05-17,1.1045
2021-05-18,1.112
2021-05-19,1.1112
2021-05-20,1.1236
2021-05-21,1.1208
2021-05-24,1.1251
2021-05-25,1.1521
2021-05-26,1.1513
2021-05-27,1.1574
2021-05-28,1.1505
2021-05-31,1.1734
2021-06-01,1.1774
2021-06-02,1.1648
2021-06-03,1.1476
2021-06-04,1.1602
2021-06-07,1.1485
2021-06-08,1.1385
2021-06-09,1.1389
2021-06-10,1.1471
2021-06-11,1.1551
2021-06-15,1.1568
2021-06-16,1.1195
2021-06-17,1.142
2021-06-18,1.1707
2021-06-21,1.1734
2021-06-22,1.1651
2021-06-23,1.1962
2021-06-24,1.2014
2021-06-25,1.2155
2021-06-28,1.2258
2021-06-29,1.2211
2021-06-30,1.2355
2021-07-01,1.2398
2021-07-02,1.1967
2021-07-05,1.2014
2021-07-06,1.1913
2021-07-07,1.2166
2021-07-08,1.2013
2021-07-09,1.2126
2021-07-12,1.2482
