净值日期,单位净值,日增长率
2014-12-11,1.0,0.0
2014-12-12,1.0,0.0
2014-12-15,1.0,0.0
2014-12-16,1.0,0.0
2014-12-17,1.0,0.0
2014-12-18,1.0,0.0
2014-12-19,1.0,0.0
2014-12-22,0.987,-1.3
2014-12-23,0.973,-1.4184
2014-12-24,0.986,1.3361
2014-12-25,0.996,1.0142
2014-12-26,1.008,1.2048
2014-12-29,0.996,-1.1905
2014-12-30,0.959,-3.7149
2014-12-31,0.958,-0.1043
2015-01-05,0.968,1.0438
2015-01-06,1.011,4.4421
2015-01-07,1.002,-0.8902
2015-01-08,1.008,0.5988
2015-01-09,1.009,0.0992
2015-01-12,1.025,1.5857
2015-01-13,1.043,1.7561
2015-01-14,1.032,-1.0547
2015-01-15,1.039,0.6783
2015-01-16,1.087,4.6198
2015-01-19,1.071,-1.4719
2015-01-20,1.113,3.9216
2015-01-21,1.132,1.7071
2015-01-22,1.132,0.0
2015-01-23,1.105,-2.3852
2015-01-26,1.141,3.2579
2015-01-27,1.137,-0.3506
2015-01-28,1.132,-0.4398
2015-01-29,1.124,-0.7067
2015-01-30,1.112,-1.0676
2015-02-02,1.119,0.6295
2015-02-03,1.15,2.7703
2015-02-04,1.149,-0.087
2015-02-05,1.176,2.3499
2015-02-06,1.157,-1.6156
2015-02-09,1.141,-1.3829
2015-02-10,1.17,2.5416
2015-02-11,1.196,2.2222
2015-02-12,1.207,0.9197
2015-02-13,1.244,3.0655
2015-02-16,1.314,5.627
2015-02-17,1.316,0.1522
2015-02-25,1.272,-3.3435
2015-02-26,1.283,0.8648
2015-02-27,1.313,2.3383
2015-03-02,1.335,1.6756
2015-03-03,1.304,-2.3221
2015-03-04,1.341,2.8374
2015-03-05,1.337,-0.2983
2015-03-06,1.296,-3.0666
2015-03-09,1.321,1.929
2015-03-10,1.351,2.271
2015-03-11,1.347,-0.2961
2015-03-12,1.341,-0.4454
2015-03-13,1.365,1.7897
2015-03-16,1.425,4.3956
2015-03-17,1.424,-0.0702
2015-03-18,1.46,2.5281
2015-03-19,1.457,-0.2055
2015-03-20,1.482,1.7159
2015-03-23,1.534,3.5088
2015-03-24,1.0,2.2857
2015-03-25,0.997,-0.3
2015-03-26,0.95,-4.7141
2015-03-27,0.962,1.2632
2015-03-30,0.954,-0.8316
2015-03-31,0.964,1.0482
2015-04-01,0.987,2.3859
2015-04-02,1.002,1.5198
2015-04-03,1.012,0.998
2015-04-07,1.024,1.1858
2015-04-08,0.994,-2.9297
2015-04-09,0.988,-0.6036
2015-04-10,1.011,2.3279
2015-04-13,1.011,0.0
2015-04-14,1.0,-1.088
2015-04-15,0.955,-4.5
2015-04-16,0.964,0.9424
2015-04-17,0.968,0.4149
2015-04-20,0.952,-1.6529
2015-04-21,0.999,4.937
2015-04-22,1.034,3.5035
2015-04-23,1.065,2.9981
2015-04-24,1.084,1.784
2015-04-27,1.086,0.1845
2015-04-28,1.053,-3.0387
2015-04-29,1.105,4.9383
2015-04-30,1.126,1.9005
2015-05-04,1.101,-2.2202
2015-05-05,1.064,-3.3606
2015-05-06,1.076,1.1278
2015-05-07,1.065,-1.0223
2015-05-08,1.122,5.3521
2015-05-11,1.186,5.7041
2015-05-12,1.233,3.9629
2015-05-13,1.248,1.2165
2015-05-14,1.213,-2.8045
2015-05-15,1.221,0.6595
2015-05-18,1.251,2.457
2015-05-19,1.269,1.4388
2015-05-20,1.298,2.2853
2015-05-21,1.322,1.849
2015-05-22,1.331,0.6808
2015-05-25,1.328,-0.2254
2015-05-26,1.384,4.2169
2015-05-27,1.366,-1.3006
2015-05-28,1.28,-6.2958
2015-05-29,1.307,2.1094
2015-06-01,1.374,5.1262
2015-06-02,1.448,5.3857
2015-06-03,1.469,1.4503
2015-06-04,1.457,-0.8169
2015-06-05,1.432,-1.7159
2015-06-08,1.391,-2.8631
2015-06-09,1.392,0.0719
2015-06-10,1.446,3.8793
2015-06-11,1.446,0.0
2015-06-12,1.473,1.8672
2015-06-15,1.406,-4.5485
2015-06-16,1.353,-3.7696
2015-06-17,1.399,3.3999
2015-06-18,1.308,-6.5046
2015-06-19,1.244,-4.893
2015-06-23,1.244,0.0
2015-06-24,1.242,-0.1608
2015-06-25,1.16,-6.6023
2015-06-26,1.049,-9.569
2015-06-29,0.961,-8.3889
2015-06-30,1.024,6.5557
2015-07-01,0.971,-5.1758
2015-07-02,0.925,-4.7374
2015-07-03,0.896,-3.1351
2015-07-06,0.869,-3.0134
2015-07-07,0.802,-7.71
2015-07-08,0.779,-2.8678
2015-07-09,0.816,4.7497
2015-07-10,0.854,4.6569
2015-07-13,0.914,7.0258
2015-07-14,0.926,1.3129
2015-07-15,0.867,-6.3715
2015-07-16,0.88,1.4994
2015-07-17,0.939,6.7045
2015-07-20,0.961,2.3429
2015-07-21,0.968,0.7284
2015-07-22,0.978,1.0331
2015-07-23,1.018,4.09
2015-07-24,0.989,-2.8487
2015-07-27,0.91,-7.9879
2015-07-28,0.872,-4.1758
2015-07-29,0.925,6.078
2015-07-30,0.893,-3.4595
2015-07-31,0.881,-1.3438
2015-08-03,0.834,-5.3348
2015-08-04,0.889,6.5947
2015-08-05,0.863,-2.9246
2015-08-06,0.851,-1.3905
2015-08-07,0.892,4.8179
2015-08-10,0.943,5.7175
2015-08-11,0.949,0.6363
2015-08-12,0.929,-2.1075
2015-08-13,0.959,3.2293
2015-08-14,0.951,-0.8342
2015-08-17,0.947,-0.4206
2015-08-18,0.874,-7.7086
2015-08-19,0.899,2.8604
2015-08-20,0.874,-2.7809
2015-08-21,0.812,-7.0938
2015-08-24,0.735,-9.4828
2015-08-25,0.666,-9.3878
2015-08-26,0.631,-5.2553
2015-08-27,1.0,5.7354
2015-08-28,1.062,6.2
2015-08-31,1.035,-2.5424
2015-09-01,0.988,-4.5411
2015-09-02,0.975,-1.3158
2015-09-07,0.994,1.9487
2015-09-08,1.051,5.7344
2015-09-09,1.084,3.1399
2015-09-10,1.069,-1.3838
2015-09-11,1.085,1.4967
2015-09-14,1.009,-7.0046
2015-09-15,0.947,-6.1447
2015-09-16,1.025,8.2365
2015-09-17,1.008,-1.6585
2015-09-18,1.033,2.4802
2015-09-21,1.091,5.6147
2015-09-22,1.092,0.0917
2015-09-23,1.086,-0.5495
2015-09-24,1.108,2.0258
2015-09-25,1.051,-5.1444
2015-09-28,1.1,4.6622
2015-09-29,1.083,-1.5455
2015-09-30,1.074,-0.831
2015-10-08,1.126,4.8417
2015-10-09,1.137,0.9769
2015-10-12,1.188,4.4855
2015-10-13,1.212,2.0202
2015-10-14,1.192,-1.6502
2015-10-15,1.247,4.6141
2015-10-16,1.287,3.2077
2015-10-19,1.284,-0.2331
2015-10-20,1.329,3.5047
2015-10-21,1.231,-7.374
2015-10-22,1.28,3.9805
2015-10-23,1.326,3.5938
2015-10-26,1.32,-0.4525
2015-10-27,1.348,2.1212
2015-10-28,1.303,-3.3383
2015-10-29,1.303,0.0
2015-10-30,1.31,0.5372
2015-11-02,1.286,-1.8321
2015-11-03,1.286,0.0
2015-11-04,1.36,5.7543
2015-11-05,1.354,-0.4412
2015-11-06,1.405,3.7666
2015-11-09,1.435,2.1352
2015-11-10,1.449,0.9756
2015-11-11,1.471,1.5183
2015-11-12,1.452,-1.2916
2015-11-13,1.428,-1.6529
2015-11-16,1.47,2.9412
2015-11-17,1.447,-1.5646
2015-11-18,1.418,-2.0041
2015-11-19,1.471,3.7377
2015-11-20,1.479,0.5438
2015-11-23,1.479,0.0
2015-11-24,1.495,1.0818
2015-11-25,1.529,2.2742
2015-11-26,1.0,-1.8295
2015-11-27,0.936,-6.4
2015-11-30,0.938,0.2137
2015-12-01,0.933,-0.533
2015-12-02,0.924,-0.9646
2015-12-03,0.955,3.355
2015-12-04,0.95,-0.5236
2015-12-07,0.974,2.5263
2015-12-08,0.957,-1.7454
2015-12-09,0.956,-0.1045
2015-12-10,0.965,0.9414
2015-12-11,0.955,-1.0363
2015-12-14,0.969,1.466
2015-12-15,0.979,1.032
