净值日期,累计净值
2015-03-30,1.0
2015-04-03,1.003
2015-04-10,0.991
2015-04-13,1.006
2015-04-14,1.004
2015-04-15,0.968
2015-04-16,0.98
2015-04-17,0.989
2015-04-20,0.967
2015-04-21,0.997
2015-04-22,1.022
2015-04-23,1.049
2015-04-24,1.045
2015-04-27,1.047
2015-04-28,1.01
2015-04-29,1.037
2015-04-30,1.036
2015-05-04,1.053
2015-05-05,1.018
2015-05-06,1.008
2015-05-07,0.984
2015-05-08,1.015
2015-05-11,1.058
2015-05-12,1.078
2015-05-13,1.086
2015-05-14,1.095
2015-05-15,1.09
2015-05-18,1.107
2015-05-19,1.134
2015-05-20,1.159
2015-05-21,1.197
2015-05-22,1.209
2015-05-25,1.24
2015-05-26,1.283
2015-05-27,1.296
2015-05-28,1.226
2015-05-29,1.245
2015-06-01,1.307
2015-06-02,1.359
2015-06-03,1.368
2015-06-04,1.372
2015-06-05,1.387
2015-06-08,1.353
2015-06-09,1.354
2015-06-10,1.374
2015-06-11,1.394
2015-06-12,1.421
2015-06-15,1.412
2015-06-16,1.359
2015-06-17,1.374
2015-06-18,1.331
2015-06-19,1.245
2015-06-23,1.252
2015-06-24,1.278
2015-06-25,1.221
2015-06-26,1.114
2015-06-29,1.036
2015-06-30,1.093
2015-07-01,1.034
2015-07-02,0.97
2015-07-03,0.921
2015-07-06,0.902
2015-07-07,0.851
2015-07-08,0.824
2015-07-09,0.858
2015-07-10,0.897
2015-07-13,0.942
2015-07-14,0.952
2015-07-15,0.899
2015-07-16,0.914
2015-07-17,0.958
2015-07-20,0.968
2015-07-21,0.984
2015-07-22,0.993
2015-07-23,1.017
2015-07-24,1.009
2015-07-27,0.944
2015-07-28,0.918
2015-07-29,0.96
2015-07-30,0.937
2015-07-31,0.933
2015-08-03,0.908
2015-08-04,0.957
2015-08-05,0.959
2015-08-06,0.997
2015-08-07,1.022
2015-08-10,1.055
2015-08-11,1.052
2015-08-12,1.027
2015-08-13,1.054
2015-08-14,1.052
2015-08-17,1.061
2015-08-18,0.993
2015-08-19,1.017
2015-08-20,0.986
2015-08-21,0.931
2015-08-24,0.862
2015-08-25,0.787
2015-08-26,0.763
2015-08-27,0.787
2015-08-28,0.829
2015-08-31,0.814
2015-09-01,0.77
2015-09-02,0.753
2015-09-07,0.758
2015-09-08,0.791
2015-09-09,0.826
2015-09-10,0.806
2015-09-11,0.812
2015-09-14,0.756
2015-09-15,0.712
2015-09-16,0.753
2015-09-17,0.748
2015-09-18,0.762
2015-09-21,0.789
2015-09-22,0.794
2015-09-23,0.802
2015-09-24,0.802
2015-09-25,0.778
2015-09-28,0.794
2015-09-29,0.784
2015-09-30,0.786
2015-10-08,0.81
2015-10-09,0.828
2015-10-12,0.854
2015-10-13,0.873
2015-10-14,0.863
2015-10-15,0.889
2015-10-16,0.898
2015-10-19,0.919
2015-10-20,0.926
2015-10-21,0.862
2015-10-22,0.895
2015-10-23,0.927
2015-10-26,0.948
2015-10-27,0.951
2015-10-28,0.936
2015-10-29,0.941
2015-10-30,0.944
2015-11-02,0.92
2015-11-03,0.92
2015-11-04,0.975
2015-11-05,0.969
2015-11-06,0.99
2015-11-09,1.01
2015-11-10,1.028
2015-11-11,1.044
2015-11-12,1.06
2015-11-13,1.063
2015-11-16,1.076
2015-11-17,1.051
2015-11-18,1.021
2015-11-19,1.062
2015-11-20,1.067
2015-11-23,1.044
2015-11-24,1.055
2015-11-25,1.073
2015-11-26,1.065
2015-11-27,0.997
2015-11-30,1.016
2015-12-01,1.003
2015-12-02,1.001
2015-12-03,1.024
2015-12-04,1.014
2015-12-07,1.03
2015-12-08,1.011
2015-12-09,1.038
2015-12-10,1.028
2015-12-11,1.017
2015-12-14,1.028
2015-12-15,1.044
2015-12-16,1.046
2015-12-17,1.074
2015-12-18,1.071
2015-12-21,1.065
2015-12-22,1.076
2015-12-23,1.06
2015-12-24,1.061
2015-12-25,1.07
2015-12-28,1.056
2015-12-29,1.08
2015-12-30,1.086
2015-12-31,1.068
2016-01-04,0.982
2016-01-05,0.956
2016-01-06,0.977
2016-01-07,0.895
2016-01-08,0.899
2016-01-11,0.839
2016-01-12,0.845
2016-01-13,0.818
2016-01-14,0.855
2016-01-15,0.835
2016-01-18,0.851
2016-01-19,0.882
2016-01-20,0.873
2016-01-21,0.83
2016-01-22,0.842
2016-01-25,0.843
2016-01-26,0.78
2016-01-27,0.769
2016-01-28,0.734
2016-01-29,0.768
2016-02-01,0.76
2016-02-02,0.789
2016-02-03,0.802
2016-02-04,0.82
2016-02-05,0.802
2016-02-15,0.807
2016-02-16,0.837
2016-02-17,0.847
2016-02-18,0.845
2016-02-19,0.85
2016-02-22,0.869
2016-02-23,0.86
2016-02-24,0.865
2016-02-25,0.805
2016-02-26,0.806
2016-02-29,0.759
2016-03-01,0.775
2016-03-02,0.812
2016-03-03,0.814
2016-03-04,0.786
2016-03-07,0.799
2016-03-08,0.808
2016-03-09,0.788
2016-03-10,0.776
2016-03-11,0.775
2016-03-14,0.803
2016-03-15,0.806
2016-03-16,0.798
2016-03-17,0.834
2016-03-18,0.862
2016-03-21,0.88
2016-03-22,0.88
2016-03-23,0.884
2016-03-24,0.879
2016-03-25,0.88
2016-03-28,0.882
2016-03-29,0.867
2016-03-30,0.906
2016-03-31,0.903
2016-04-01,0.899
2016-04-05,0.934
2016-04-06,0.942
2016-04-07,0.939
2016-04-08,0.934
2016-04-11,0.945
2016-04-12,0.931
2016-04-13,0.938
2016-04-14,0.944
2016-04-15,0.942
2016-04-18,0.942
2016-04-19,0.946
2016-04-20,0.91
2016-04-21,0.892
2016-04-22,0.906
2016-04-25,0.898
2016-04-26,0.911
2016-04-27,0.913
2016-04-28,0.913
2016-04-29,0.913
2016-05-03,0.947
2016-05-04,0.947
2016-05-05,0.963
2016-05-06,0.929
2016-05-09,0.903
2016-05-10,0.89
2016-05-11,0.881
2016-05-12,0.905
2016-05-13,0.911
2016-05-16,0.939
2016-05-17,0.932
2016-05-18,0.907
2016-05-19,0.923
2016-05-20,0.925
2016-05-23,0.946
2016-05-24,0.939
2016-05-25,0.926
2016-05-26,0.934
2016-05-27,0.919
2016-05-30,0.91
2016-05-31,0.949
2016-06-01,0.963
2016-06-02,0.97
2016-06-03,0.971
2016-06-06,0.983
2016-06-07,0.988
2016-06-08,0.998
2016-06-13,0.948
2016-06-14,0.951
2016-06-15,1.008
2016-06-16,1.027
2016-06-17,1.021
2016-06-20,1.027
2016-06-21,1.004
2016-06-22,1.019
2016-06-23,1.004
2016-06-24,0.992
2016-06-27,1.012
2016-06-28,1.011
2016-06-29,1.019
2016-06-30,1.005
2016-07-01,1.002
2016-07-04,1.015
2016-07-05,1.021
2016-07-06,1.02
2016-07-07,1.04
2016-07-08,1.025
2016-07-11,1.016
2016-07-12,1.015
2016-07-13,1.02
2016-07-14,1.024
2016-07-15,1.024
2016-07-18,1.014
2016-07-19,1.014
2016-07-20,1.015
2016-07-21,1.009
2016-07-22,0.994
2016-07-25,0.985
2016-07-26,0.995
2016-07-27,0.949
2016-07-28,0.949
2016-07-29,0.943
2016-08-01,0.932
2016-08-02,0.937
2016-08-03,0.937
2016-08-04,0.949
2016-08-05,0.937
2016-08-08,0.943
2016-08-09,0.951
2016-08-10,0.95
2016-08-11,0.932
2016-08-12,0.939
2016-08-15,0.958
2016-08-16,0.97
2016-08-17,0.972
2016-08-18,0.969
2016-08-19,0.97
2016-08-22,0.958
2016-08-23,0.953
2016-08-24,0.956
2016-08-25,0.947
2016-08-26,0.948
2016-08-29,0.945
2016-08-30,0.946
2016-08-31,0.947
2016-09-01,0.94
2016-09-02,0.934
2016-09-05,0.935
2016-09-06,0.957
2016-09-07,0.952
2016-09-08,0.957
2016-09-09,0.953
2016-09-12,0.92
2016-09-13,0.924
2016-09-14,0.917
2016-09-19,0.924
2016-09-20,0.923
2016-09-21,0.923
2016-09-22,0.924
2016-09-23,0.917
2016-09-26,0.895
2016-09-27,0.9
2016-09-28,0.902
2016-09-29,0.901
2016-09-30,0.904
2016-10-10,0.925
2016-10-11,0.927
2016-10-12,0.926
2016-10-13,0.923
2016-10-14,0.923
2016-10-17,0.923
2016-10-18,0.943
2016-10-19,0.937
2016-10-20,0.94
2016-10-21,0.932
2016-10-24,0.936
2016-10-25,0.938
2016-10-26,0.932
2016-10-27,0.934
2016-10-28,0.925
2016-10-31,0.931
2016-11-01,0.935
2016-11-02,0.927
2016-11-03,0.929
2016-11-04,0.924
2016-11-07,0.924
2016-11-08,0.927
2016-11-09,0.916
2016-11-10,0.924
2016-11-11,0.928
2016-11-14,0.927
2016-11-15,0.931
2016-11-16,0.935
2016-11-17,0.93
2016-11-18,0.928
2016-11-21,0.927
2016-11-22,0.935
2016-11-23,0.931
2016-11-24,0.927
2016-11-25,0.931
2016-11-28,0.93
2016-11-29,0.925
2016-11-30,0.926
2016-12-01,0.93
2016-12-02,0.921
2016-12-05,0.921
2016-12-06,0.924
2016-12-07,0.932
2016-12-08,0.928
2016-12-09,0.924
2016-12-12,0.881
2016-12-13,0.883
2016-12-14,0.871
2016-12-15,0.878
2016-12-16,0.885
2016-12-19,0.881
2016-12-20,0.88
2016-12-21,0.884
2016-12-22,0.888
2016-12-23,0.875
2016-12-26,0.88
2016-12-27,0.876
2016-12-28,0.874
2016-12-29,0.868
2016-12-30,0.867
2016-12-31,0.867
2017-01-03,0.873
2017-01-04,0.894
2017-01-05,0.892
2017-01-06,0.884
2017-01-09,0.89
2017-01-10,0.886
2017-01-11,0.881
2017-01-12,0.875
2017-01-13,0.863
2017-01-16,0.839
2017-01-17,0.845
2017-01-18,0.841
2017-01-19,0.837
2017-01-20,0.848
2017-01-23,0.854
2017-01-24,0.852
2017-01-25,0.855
2017-01-26,0.859
2017-02-03,0.855
2017-02-06,0.861
2017-02-07,0.86
2017-02-08,0.865
2017-02-09,0.872
2017-02-10,0.869
2017-02-13,0.875
2017-02-14,0.875
2017-02-15,0.863
2017-02-16,0.871
2017-02-17,0.866
2017-02-20,0.873
2017-02-21,0.885
2017-02-22,0.889
2017-02-23,0.897
2017-02-24,0.897
2017-02-27,0.889
2017-02-28,0.892
2017-03-01,0.895
2017-03-02,0.896
2017-03-03,0.911
2017-03-06,0.92
2017-03-07,0.918
2017-03-08,0.914
2017-03-09,0.908
2017-03-10,0.916
2017-03-13,0.925
2017-03-14,0.921
2017-03-15,0.923
2017-03-16,0.929
2017-03-17,0.917
2017-03-20,0.916
2017-03-21,0.914
2017-03-22,0.913
2017-03-23,0.913
2017-03-24,0.911
2017-03-27,0.912
2017-03-28,0.915
2017-03-29,0.911
2017-03-30,0.897
2017-03-31,0.906
2017-04-05,0.936
2017-04-06,0.936
2017-04-07,0.934
2017-04-10,0.927
2017-04-11,0.932
2017-04-12,0.922
2017-04-13,0.931
2017-04-14,0.915
2017-04-17,0.911
2017-04-18,0.898
2017-04-19,0.887
2017-04-20,0.878
2017-04-21,0.873
2017-04-24,0.844
2017-04-25,0.844
2017-04-26,0.851
2017-04-27,0.856
2017-04-28,0.857
2017-05-02,0.859
2017-05-03,0.856
2017-05-04,0.852
2017-05-05,0.841
2017-05-08,0.828
2017-05-09,0.831
2017-05-10,0.815
2017-05-11,0.815
2017-05-12,0.811
2017-05-15,0.81
2017-05-16,0.833
2017-05-17,0.833
2017-05-18,0.825
2017-05-19,0.821
2017-05-22,0.811
2017-05-23,0.798
2017-05-24,0.802
2017-05-25,0.804
2017-05-26,0.804
2017-05-31,0.804
2017-06-01,0.785
2017-06-02,0.792
2017-06-05,0.799
2017-06-06,0.799
2017-06-07,0.815
2017-06-08,0.815
2017-06-09,0.818
2017-06-12,0.813
2017-06-13,0.84
2017-06-14,0.845
2017-06-15,0.849
2017-06-16,0.852
2017-06-19,0.854
2017-06-20,0.868
2017-06-21,0.867
2017-06-22,0.854
2017-06-23,0.86
2017-06-26,0.872
2017-06-27,0.869
2017-06-28,0.862
2017-06-29,0.861
2017-06-30,0.869
2017-07-03,0.877
2017-07-04,0.876
2017-07-05,0.889
2017-07-06,0.902
2017-07-07,0.91
2017-07-10,0.903
2017-07-11,0.887
2017-07-12,0.9
2017-07-13,0.895
2017-07-14,0.9
2017-07-17,0.871
2017-07-18,0.878
2017-07-19,0.893
2017-07-20,0.909
2017-07-21,0.917
2017-07-24,0.909
2017-07-25,0.91
2017-07-26,0.911
2017-07-27,0.908
2017-07-28,0.925
2017-07-31,0.935
2017-08-01,0.938
2017-08-02,0.938
2017-08-03,0.934
2017-08-04,0.915
2017-08-07,0.925
2017-08-08,0.917
2017-08-09,0.927
2017-08-10,0.918
2017-08-11,0.901
2017-08-14,0.93
2017-08-15,0.938
2017-08-16,0.932
2017-08-17,0.936
