date,price,std,mid band,upper band,lower band,signals,cumsum,coordinates
2019-08-09,1.0094,0.00936120072145491,1.005295,1.0240174014429098,0.9865725985570902,0,0,
2019-08-12,1.0353,0.011413214870675576,1.00706,1.0298864297413513,0.9842335702586489,0,0,
2019-08-13,1.0323,0.012582929120962158,1.00868,1.0338458582419243,0.9835141417580757,0,0,
2019-08-14,1.0391,0.013949928315227962,1.010805,1.038704856630456,0.982905143369544,0,0,
2019-08-15,1.0534,0.01626219056908575,1.0138099999999999,1.0463343811381713,0.9812856188618284,0,0,
2019-08-16,1.0555,0.01826701009729664,1.016695,1.053229020194593,0.9801609798054066,0,0,
2019-08-19,1.0837,0.022802698362947762,1.0212099999999997,1.0668153967258953,0.9756046032741043,0,0,
2019-08-20,1.0857,0.026033813538712005,1.0257949999999998,1.0778626270774239,0.9737273729225758,0,0,
2019-08-21,1.0893,0.029093198698773536,1.0300499999999997,1.0882363973975469,0.9718636026024526,0,0,
2019-08-22,1.0826,0.030810961822394577,1.0338199999999997,1.095441923644789,0.9721980763552106,0,0,
2019-08-23,1.0786,0.03168821630561718,1.0373899999999998,1.100766432611234,0.9740135673887654,0,0,
2019-08-26,1.0669,0.03181436740977595,1.0400649999999998,1.1036937348195517,0.9764362651804479,0,0,
2019-08-27,1.0799,0.03190961371387038,1.0437849999999995,1.1076042274277402,0.9799657725722588,0,0,
2019-08-28,1.0759999999999998,0.03153586262620622,1.0471699999999997,1.1102417252524122,0.9840982747475873,0,0,
2019-08-29,1.0828,0.03226292478665684,1.0497499999999997,1.1142758495733134,0.9852241504266861,0,0,
2019-08-30,1.0811,0.03206216987108185,1.0529199999999996,1.1170443397421632,0.9887956602578359,0,0,
2019-09-02,1.1166,0.03296434916374777,1.0585099999999996,1.1244386983274952,0.992581301672504,0,0,
2019-09-03,1.1395,0.03477578709995017,1.0654199999999996,1.1349715741999,0.9958684258000993,0,0,
2019-09-04,1.1534,0.03691009133157589,1.0728699999999995,1.1466901826631513,0.9990498173368477,0,0,
2019-09-05,1.1718,0.04056360145694545,1.0806449999999996,1.1617722029138906,0.9995177970861088,0,0,
2019-09-06,1.1702,0.041621177238718984,1.0886849999999997,1.1719273544774376,1.0054426455225618,0,0,
2019-09-09,1.2048,0.04707795774312199,1.0971599999999997,1.1913159154862436,1.0030040845137558,0,0,
2019-09-10,1.197,0.049478995809492894,1.1053949999999997,1.2043529916189855,1.006437008381014,0,0,
2019-09-11,1.1803,0.04959526160515978,1.1124549999999995,1.2116455232103192,1.01326447678968,0,0,
2019-09-12,1.1802,0.049753121827468993,1.1187949999999995,1.2183012436549374,1.0192887563450617,0,0,
2019-09-16,1.1902,0.04985098953776906,1.1255299999999997,1.2252319790755377,1.0258280209244617,0,0,
2019-09-17,1.1709,0.049813229060900174,1.1298899999999996,1.2295164581217999,1.0302635418781994,0,0,
2019-09-18,1.1819,0.04996596736516636,1.1346999999999996,1.2346319347303323,1.034768065269667,0,0,
2019-09-19,1.2041,0.05105807220060443,1.1404399999999995,1.2425561444012083,1.0383238555987906,0,0,
2019-09-20,1.2121,0.05154598636680015,1.1469149999999995,1.2500069727335998,1.043823027266399,0,0,
2019-09-23,1.2097,0.05073068312694348,1.1534699999999996,1.2549313662538866,1.0520086337461125,0,0,
2019-09-24,1.2135,0.04808605225065436,1.1607999999999996,1.2569721045013083,1.064627895498691,0,0,
2019-09-25,1.1886,0.044467815386672514,1.1662349999999997,1.2551706307733448,1.0772993692266546,0,0,
2019-09-26,1.155,0.039230872308748006,1.1701849999999996,1.2486467446174956,1.0917232553825036,0,0,
2019-09-27,1.1764,0.0334086385771551,1.1748649999999998,1.2416822771543101,1.1080477228456895,0,0,
2019-09-30,1.1511,0.02588893840193093,1.1783649999999999,1.2301428768038618,1.126587123196138,0,0,
2019-10-08,1.1278,0.024570133238719892,1.178925,1.2280652664774399,1.1297847335225601,0,0,
2019-10-09,1.1312,0.025329448224713624,1.17851,1.2291688964494272,1.1278511035505727,0,0,
2019-10-10,1.1637,0.024892989395664367,1.1790249999999998,1.2288109787913286,1.129239021208671,0,0,
2019-10-11,1.1679,0.02496772864487752,1.1788299999999998,1.2287654572897548,1.1288945427102448,0,0,
2019-10-14,1.1829,0.024898092824869468,1.1794649999999998,1.2292611856497386,1.129668814350261,0,0,
2019-10-15,1.1687,0.024265253477262844,1.17766,1.2261905069545256,1.1291294930454743,0,0,
2019-10-16,1.159,0.024158694631867338,1.17576,1.2240773892637347,1.1274426107362652,0,0,
2019-10-17,1.1641,0.02426978845352744,1.17495,1.2234895769070548,1.126410423092945,0,0,
2019-10-18,1.1594,0.02447774284399746,1.17391,1.222865485687995,1.124954514312005,0,0,
2019-10-21,1.1505,0.024695937765253816,1.171925,1.2213168755305077,1.1225331244694925,0,0,
2019-10-22,1.1706,0.02469668420104898,1.17191,1.221303368402098,1.122516631597902,0,0,
2019-10-23,1.157,0.024793999167880696,1.170665,1.2202529983357615,1.1210770016642386,0,0,
2019-10-24,1.1552,0.0237107703708457,1.1682200000000003,1.2156415407416916,1.120798459258309,0,0,
2019-10-25,1.1716,0.021380967311090526,1.1661950000000003,1.2089569346221813,1.1234330653778193,0,0,
2019-10-28,1.1932,0.019879561045668192,1.1653700000000002,1.2051291220913367,1.1256108779086638,0,0,
2019-10-29,1.1772,0.016648549012167797,1.1635550000000001,1.1968520980243358,1.1302579019756644,0,0,
2019-10-30,1.1895,0.016720866258094387,1.1636000000000002,1.197041732516189,1.1301582674838113,0,0,
