净值日期,单位净值,日增长率
2020-04-22,1.0,0.0
2020-04-24,1.0,0.0
2020-04-30,0.9985,0.0
2020-05-08,1.0066,0.0
2020-05-15,1.0005,0.0
2020-05-21,1.0076,0.0
2020-05-22,0.9865,-2.0941
2020-05-25,1.0042,1.7942
2020-05-26,1.0082,0.3983
2020-05-27,0.9997,-0.8431
2020-05-28,0.9963,-0.3401
2020-05-29,1.0099,1.3651
2020-06-01,1.033,2.2874
2020-06-02,1.0275,-0.5324
2020-06-03,1.0226,-0.4769
2020-06-04,1.03,0.7236
2020-06-05,1.029,-0.0971
2020-06-08,1.0342,0.5053
2020-06-09,1.0421,0.7639
2020-06-10,1.0437,0.1535
2020-06-11,1.0261,-1.6863
2020-06-12,1.0309,0.4678
2020-06-15,1.0235,-0.7178
2020-06-16,1.033,0.9282
2020-06-17,1.0351,0.2033
2020-06-18,1.0427,0.7342
2020-06-19,1.0667,2.3017
2020-06-22,1.0655,-0.1125
2020-06-23,1.08,1.3609
2020-06-24,1.0831,0.287
2020-06-29,1.0885,0.4986
2020-06-30,1.1029,1.3229
2020-07-01,1.1349,2.9014
2020-07-02,1.1525,1.5508
2020-07-03,1.1509,-0.1388
2020-07-06,1.1837,2.8499
2020-07-07,1.2089,2.1289
2020-07-08,1.2176,0.7197
2020-07-09,1.2372,1.6097
2020-07-10,1.2397,0.2021
2020-07-13,1.2875,3.8558
2020-07-14,1.2885,0.0777
2020-07-15,1.3023,1.071
2020-07-16,1.2088,-7.1796
2020-07-17,1.2323,1.9441
2020-07-20,1.2304,-0.1542
2020-07-21,1.249,1.5117
2020-07-22,1.2644,1.233
2020-07-23,1.266,0.1265
2020-07-24,1.2157,-3.9731
2020-07-27,1.2287,1.0693
2020-07-28,1.2616,2.6776
2020-07-29,1.274,0.9829
2020-07-30,1.2816,0.5965
2020-07-31,1.2857,0.3199
2020-08-03,1.2993,1.0578
2020-08-04,1.2944,-0.3771
2020-08-05,1.3092,1.1434
2020-08-06,1.2839,-1.9325
2020-08-07,1.2722,-0.9113
2020-08-10,1.2734,0.0943
2020-08-11,1.2768,0.267
2020-08-12,1.2621,-1.1513
2020-08-13,1.2685,0.5071
2020-08-14,1.2889,1.6082
2020-08-17,1.3056,1.2957
2020-08-18,1.3203,1.1259
2020-08-19,1.3173,-0.2272
2020-08-20,1.2905,-2.0345
2020-08-21,1.3092,1.4491
2020-08-24,1.3306,1.63
2020-08-25,1.3441,1.01
2020-08-26,1.3393,-0.36
2020-08-27,1.3579,1.39
2020-08-28,1.3982,2.97
2020-08-31,1.4022,0.29
2020-09-01,1.4013,-0.06
2020-09-02,1.4064,0.36
2020-09-03,1.3979,-0.6
2020-09-04,1.3685,-2.1
2020-09-07,1.3269,-3.04
2020-09-08,1.3112,-1.18
2020-09-09,1.2745,-2.8
2020-09-10,1.2833,0.69
2020-09-11,1.3001,1.31
2020-09-14,1.303,0.22
2020-09-15,1.3102,0.55
2020-09-16,1.2914,-1.43
2020-09-17,1.2705,-1.62
2020-09-18,1.2898,1.52
2020-09-21,1.2727,-1.33
2020-09-22,1.2633,-0.74
2020-09-23,1.2659,0.21
2020-09-24,1.2478,-1.43
2020-09-25,1.2526,0.38
2020-09-28,1.2577,0.41
2020-09-29,1.266,0.66
2020-09-30,1.2701,0.32
2020-10-09,1.2938,1.87
2020-10-12,1.3447,3.93
2020-10-13,1.3575,0.95
2020-10-14,1.3471,-0.77
2020-10-15,1.3358,-0.84
2020-10-16,1.3268,-0.67
2020-10-19,1.3088,-1.36
2020-10-20,1.3371,2.16
2020-10-21,1.3352,-0.14
2020-10-22,1.3359,0.05
2020-10-23,1.305,-2.31
2020-10-26,1.2967,-0.64
2020-10-27,1.3057,0.69
2020-10-28,1.3306,1.91
2020-10-29,1.3617,2.34
2020-10-30,1.3203,-3.04
2020-11-02,1.3222,0.14
2020-11-03,1.3359,1.04
2020-11-04,1.3391,0.24
2020-11-05,1.3613,1.66
2020-11-06,1.3479,-0.98
2020-11-09,1.3719,1.78
2020-11-10,1.3772,0.39
2020-11-11,1.3696,-0.55
2020-11-12,1.3687,-0.07
2020-11-13,1.3475,-1.55
2020-11-16,1.3756,2.09
2020-11-17,1.3597,-1.16
2020-11-18,1.3536,-0.45
2020-11-19,1.3692,1.15
2020-11-20,1.3778,0.63
2020-11-23,1.3877,0.72
2020-11-24,1.3844,-0.24
2020-11-25,1.3503,-2.46
2020-11-26,1.354,0.27
2020-11-27,1.3667,0.94
2020-11-30,1.3415,-1.84
2020-12-01,1.3628,1.59
2020-12-02,1.3676,0.35
2020-12-03,1.381,0.98
2020-12-04,1.4091,2.03
2020-12-07,1.4192,0.72
2020-12-08,1.4274,0.58
2020-12-09,1.4128,-1.02
2020-12-10,1.4142,0.1
2020-12-11,1.4062,-0.57
2020-12-14,1.4395,2.37
2020-12-15,1.4356,-0.27
2020-12-16,1.4514,1.1
2020-12-17,1.4675,1.11
2020-12-18,1.453,-0.99
2020-12-21,1.4717,1.29
2020-12-22,1.4676,-0.28
2020-12-23,1.4733,0.39
2020-12-24,1.4588,-0.98
2020-12-25,1.4635,0.32
2020-12-28,1.4989,2.42
2020-12-29,1.4813,-1.17
2020-12-30,1.5088,1.86
2020-12-31,1.5287,1.32
2021-01-04,1.5856,3.72
2021-01-05,1.6614,4.78
2021-01-06,1.674,0.76
2021-01-07,1.6952,1.27
2021-01-08,1.6514,-2.58
2021-01-11,1.6018,-3.0
2021-01-12,1.6347,2.05
2021-01-13,1.6171,-1.08
2021-01-14,1.5786,-2.38
2021-01-15,1.5494,-1.85
2021-01-18,1.5469,-0.16
2021-01-19,1.5176,-1.89
2021-01-20,1.5275,0.65
2021-01-21,1.56,2.13
2021-01-22,1.5614,0.09
2021-01-25,1.6171,3.57
2021-01-26,1.6039,-0.82
2021-01-27,1.5912,-0.79
2021-01-28,1.5607,-1.92
2021-01-29,1.5584,-0.15
2021-02-01,1.564,0.36
2021-02-02,1.609,2.88
2021-02-03,1.619,0.62
2021-02-04,1.6228,0.23
2021-02-05,1.6369,0.87
2021-02-08,1.6678,1.89
2021-02-09,1.7059,2.28
2021-02-10,1.7618,3.28
2021-02-18,1.712,-2.83
2021-02-19,1.7376,1.5
2021-02-22,1.6614,-4.39
2021-02-23,1.6459,-0.93
2021-02-24,1.5899,-3.4
2021-02-25,1.5753,-0.92
2021-02-26,1.5347,-2.58
2021-03-01,1.5512,1.08
2021-03-02,1.5212,-1.93
2021-03-03,1.5419,1.36
2021-03-04,1.4792,-4.07
2021-03-05,1.4793,0.01
2021-03-08,1.4063,-4.93
2021-03-09,1.3681,-2.72
2021-03-10,1.389,1.53
2021-03-11,1.4253,2.61
