净值日期,累计净值
2020-07-10,1.0
2020-07-17,0.9932
2020-07-24,0.9885
2020-07-31,0.9989
2020-08-07,0.9995
2020-08-14,0.9957
2020-08-21,1.0056
2020-08-28,1.0271
2020-09-04,1.0151
2020-09-11,1.002
2020-09-18,1.0041
2020-09-25,0.9884
2020-09-30,0.9944
2020-10-09,1.0109
2020-10-12,1.0275
2020-10-13,1.0299
2020-10-14,1.0319
2020-10-15,1.0246
2020-10-16,1.024
2020-10-19,1.0167
2020-10-20,1.0206
2020-10-21,1.0256
2020-10-22,1.0226
2020-10-23,1.0143
2020-10-26,1.0092
2020-10-27,1.0169
2020-10-28,1.03
2020-10-29,1.0369
2020-10-30,1.0262
2020-11-02,1.0311
2020-11-03,1.0361
2020-11-04,1.0477
2020-11-05,1.0627
2020-11-06,1.0575
2020-11-09,1.0696
2020-11-10,1.0583
2020-11-11,1.0367
2020-11-12,1.0511
2020-11-13,1.0584
2020-11-16,1.0731
2020-11-17,1.0562
2020-11-18,1.0497
2020-11-19,1.05
2020-11-20,1.0609
2020-11-23,1.0688
2020-11-24,1.0611
2020-11-25,1.0437
2020-11-26,1.0529
2020-11-27,1.0562
2020-11-30,1.0408
2020-12-01,1.0532
2020-12-02,1.0419
2020-12-03,1.0496
2020-12-04,1.0606
2020-12-07,1.0561
2020-12-08,1.0601
2020-12-09,1.0582
2020-12-10,1.0588
2020-12-11,1.0626
2020-12-14,1.0647
2020-12-15,1.0629
2020-12-16,1.0727
2020-12-17,1.0901
2020-12-18,1.0834
2020-12-21,1.0852
2020-12-22,1.0811
2020-12-23,1.0911
2020-12-24,1.0876
2020-12-25,1.0924
2020-12-28,1.0856
2020-12-29,1.0965
2020-12-30,1.1182
2020-12-31,1.1315
2021-01-04,1.1372
2021-01-05,1.1532
2021-01-06,1.164
2021-01-07,1.1664
2021-01-08,1.1642
2021-01-11,1.1509
2021-01-12,1.1707
2021-01-13,1.1656
2021-01-14,1.1661
2021-01-15,1.1501
2021-01-18,1.1679
2021-01-19,1.1676
2021-01-20,1.1976
2021-01-21,1.2078
2021-01-22,1.2178
2021-01-25,1.263
2021-01-26,1.2247
2021-01-27,1.202
2021-01-28,1.1752
2021-01-29,1.1777
2021-02-01,1.2106
2021-02-02,1.2359
2021-02-03,1.2429
2021-02-04,1.2433
2021-02-05,1.2473
2021-02-08,1.2607
2021-02-09,1.2797
2021-02-10,1.3201
2021-02-18,1.3012
2021-02-19,1.2994
2021-02-22,1.2308
2021-02-23,1.2238
2021-02-24,1.1729
2021-02-25,1.1775
2021-02-26,1.1334
2021-03-01,1.1609
2021-03-02,1.1374
2021-03-03,1.1649
2021-03-04,1.1084
2021-03-05,1.0991
2021-03-08,1.0364
2021-03-09,1.0195
2021-03-10,1.0436
2021-03-11,1.0838
2021-03-12,1.0779
2021-03-15,1.0461
2021-03-16,1.0727
2021-03-17,1.0738
2021-03-18,1.0921
2021-03-19,1.0653
2021-03-22,1.06
2021-03-23,1.0456
2021-03-24,1.0335
2021-03-25,1.031
2021-03-26,1.0646
2021-03-29,1.0587
2021-03-30,1.0747
2021-03-31,1.0621
2021-04-01,1.1004
2021-04-02,1.1146
2021-04-06,1.11
2021-04-07,1.0842
2021-04-08,1.0928
2021-04-09,1.071
2021-04-12,1.0522
2021-04-13,1.0472
2021-04-14,1.0628
2021-04-15,1.0534
2021-04-16,1.0604
2021-04-19,1.076
2021-04-20,1.0841
2021-04-21,1.0848
2021-04-22,1.0902
2021-04-23,1.1138
2021-04-26,1.1019
2021-04-27,1.1097
2021-04-28,1.1158
2021-04-29,1.1134
2021-04-30,1.0925
2021-05-06,1.0701
2021-05-07,1.0538
2021-05-10,1.039
2021-05-11,1.0427
2021-05-12,1.0606
2021-05-13,1.0486
2021-05-14,1.0652
2021-05-17,1.0895
2021-05-18,1.0954
2021-05-19,1.0931
2021-05-20,1.1047
2021-05-21,1.0955
2021-05-24,1.0986
2021-05-25,1.1364
2021-05-26,1.1386
2021-05-27,1.1386
2021-05-28,1.124
2021-05-31,1.1441
2021-06-01,1.1635
2021-06-02,1.1561
2021-06-03,1.1521
2021-06-04,1.1555
2021-06-07,1.1547
2021-06-08,1.1263
2021-06-09,1.1334
2021-06-10,1.143
2021-06-11,1.1339
2021-06-15,1.1325
2021-06-16,1.1086
2021-06-17,1.118
2021-06-18,1.1237
2021-06-21,1.1187
2021-06-22,1.1154
2021-06-23,1.1122
2021-06-24,1.119
2021-06-25,1.1443
2021-06-28,1.1497
2021-06-29,1.1378
2021-06-30,1.1359
2021-07-01,1.1435
2021-07-02,1.1018
2021-07-05,1.0966
2021-07-06,1.0836
2021-07-07,1.0942
2021-07-08,1.0659
2021-07-09,1.07
2021-07-12,1.0851
2021-07-13,1.1013
