净值日期,单位净值,日增长率
2014-11-27,1.0,0.0
2014-11-28,1.0,0.0
2014-12-05,1.0,0.0
2014-12-11,1.001,0.0
2014-12-12,1.001,0.0
2014-12-15,1.001,0.0
2014-12-16,1.006,0.4995
2014-12-17,1.025,1.8887
2014-12-18,1.009,-1.561
2014-12-19,1.011,0.1982
2014-12-22,0.997,-1.3848
2014-12-23,1.002,0.5015
2014-12-24,0.967,-3.493
2014-12-25,0.996,2.999
2014-12-26,1.045,4.9197
2014-12-29,1.089,4.2105
2014-12-30,1.094,0.4591
2014-12-31,1.171,7.0384
2015-01-05,1.204,2.8181
2015-01-06,1.168,-2.99
2015-01-07,1.169,0.0856
2015-01-08,1.145,-2.053
2015-01-09,1.134,-0.9607
2015-01-12,1.117,-1.4991
2015-01-13,1.115,-0.1791
2015-01-14,1.122,0.6278
2015-01-15,1.165,3.8324
2015-01-16,1.172,0.6009
2015-01-19,1.083,-7.5939
2015-01-20,1.122,3.6011
2015-01-21,1.179,5.0802
2015-01-22,1.193,1.1874
2015-01-23,1.192,-0.0838
2015-01-26,1.199,0.5872
2015-01-27,1.166,-2.7523
2015-01-28,1.143,-1.9726
2015-01-29,1.133,-0.8749
2015-01-30,1.138,0.4413
2015-02-02,1.117,-1.8453
2015-02-03,1.124,0.6267
2015-02-04,1.112,-1.0676
2015-02-05,1.099,-1.1691
2015-02-06,1.065,-3.0937
2015-02-09,1.058,-0.6573
2015-02-10,1.078,1.8904
2015-02-11,1.082,0.3711
2015-02-12,1.081,-0.0924
2015-02-13,1.111,2.7752
2015-02-16,1.105,-0.5401
2015-02-17,1.126,1.9005
2015-02-25,1.101,-2.2202
2015-02-26,1.128,2.4523
2015-02-27,1.12,-0.7092
2015-03-02,1.129,0.8036
2015-03-03,1.087,-3.7201
2015-03-04,1.087,0.0
2015-03-05,1.067,-1.8399
2015-03-06,1.064,-0.2812
2015-03-09,1.081,1.5977
2015-03-10,1.071,-0.9251
2015-03-11,1.071,0.0
2015-03-12,1.09,1.774
2015-03-13,1.086,-0.367
2015-03-16,1.122,3.3149
2015-03-17,1.137,1.3369
2015-03-18,1.175,3.3421
2015-03-19,1.162,-1.1064
2015-03-20,1.196,2.926
2015-03-23,1.218,1.8395
2015-03-24,1.212,-0.4926
2015-03-25,1.196,-1.3201
2015-03-26,1.196,0.0
2015-03-27,1.242,3.8462
2015-03-30,1.323,6.5217
2015-03-31,1.294,-2.192
2015-04-01,1.305,0.8501
2015-04-02,1.3,-0.3831
2015-04-03,1.311,0.8462
2015-04-07,1.332,1.6018
2015-04-08,1.328,-0.3003
2015-04-09,1.388,4.5181
2015-04-10,1.377,-0.7925
2015-04-13,1.398,1.5251
2015-04-14,1.382,-1.1445
2015-04-15,1.339,-3.1114
2015-04-16,1.374,2.6139
2015-04-17,1.394,1.4556
2015-04-20,1.355,-2.7977
2015-04-21,1.383,2.0664
2015-04-22,1.413,2.1692
2015-04-23,1.423,0.7077
2015-04-24,1.399,-1.6866
2015-04-27,1.414,1.0722
2015-04-28,1.406,-0.5658
2015-04-29,1.424,1.2802
2015-04-30,1.468,3.0899
2015-05-04,1.47,0.1362
2015-05-05,1.381,-6.0544
2015-05-06,1.353,-2.0275
2015-05-07,1.358,0.3695
2015-05-08,1.376,1.3255
2015-05-11,1.407,2.2529
2015-05-12,1.413,0.4264
2015-05-13,1.448,2.477
2015-05-14,1.419,-2.0028
2015-05-15,1.4,-1.339
2015-05-18,1.38,-1.4286
2015-05-19,1.404,1.7391
2015-05-20,1.404,0.0
2015-05-21,1.421,1.2108
2015-05-22,1.457,2.5334
2015-05-25,1.493,2.4708
2015-05-26,1.53,2.4782
2015-05-27,1.0,-0.3344
2015-05-28,0.931,-6.9
2015-05-29,0.932,0.1074
2015-06-01,0.973,4.3991
2015-06-02,0.995,2.261
2015-06-03,1.013,1.809
2015-06-04,1.006,-0.691
2015-06-05,1.035,2.8827
2015-06-08,1.065,2.8986
2015-06-09,1.043,-2.0657
2015-06-10,1.062,1.8217
2015-06-11,1.069,0.6591
2015-06-12,1.074,0.4677
2015-06-15,1.091,1.5829
2015-06-16,1.07,-1.9248
2015-06-17,1.06,-0.9346
2015-06-18,1.047,-1.2264
2015-06-19,0.971,-7.2588
2015-06-23,0.989,1.8538
2015-06-24,1.012,2.3256
2015-06-25,0.999,-1.2846
2015-06-26,0.911,-8.8088
2015-06-29,0.901,-1.0977
2015-06-30,0.95,5.4384
2015-07-01,0.896,-5.6842
2015-07-02,0.84,-6.25
2015-07-03,0.777,-7.5
2015-07-06,0.798,2.7027
2015-07-07,0.769,-3.6341
2015-07-08,0.708,-7.9324
2015-07-09,0.763,7.7684
2015-07-10,0.811,6.291
2015-07-13,0.841,3.6991
2015-07-14,0.839,-0.2378
2015-07-15,0.796,-5.1251
2015-07-16,0.8,0.5025
2015-07-17,0.841,5.125
2015-07-20,0.851,1.1891
2015-07-21,0.84,-1.2926
2015-07-22,0.838,-0.2381
2015-07-23,0.859,2.506
2015-07-24,0.858,-0.1164
2015-07-27,0.787,-8.2751
2015-07-28,0.803,2.033
2015-07-29,0.834,3.8605
2015-07-30,0.8,-4.0767
2015-07-31,0.815,1.875
2015-08-03,0.846,3.8037
2015-08-04,0.864,2.1277
2015-08-05,0.833,-3.588
2015-08-06,0.809,-2.8812
2015-08-07,0.83,2.5958
2015-08-10,0.866,4.3373
2015-08-11,0.865,-0.1155
2015-08-12,0.848,-1.9653
2015-08-13,0.871,2.7123
2015-08-14,0.885,1.6073
