,基金代码,拼音缩写,基金简称,基金类型,拼音全称
2330,003083,ZR13NGDJXYZA,中融1-3年高等级信用债A,债券指数,ZHONGRONG13NIANGAODENGJIXINYONGZHAIA
2331,003084,ZR13NGDJXYZC,中融1-3年高等级信用债C,债券指数,ZHONGRONG13NIANGAODENGJIXINYONGZHAIC
2332,003092,HSFLZQDKZA,华商丰利增强定开债A,定开债券,HUASHANGFENGLIZENGQIANGDINGKAIZHAIA
2333,003093,HSFLZQDKZC,华商丰利增强定开债C,定开债券,HUASHANGFENGLIZENGQIANGDINGKAIZHAIC
2334,003095,ZOYLJKHHA,中欧医疗健康混合A,混合型,ZHONGOUYILIAOJIANKANGHUNHEA
2335,003096,ZOYLJKHHC,中欧医疗健康混合C,混合型,ZHONGOUYILIAOJIANKANGHUNHEC
2336,003102,CSSYCZA,长盛盛裕纯债A,债券型,CHANGSHENGSHENGYUCHUNZHAIA
2337,003103,CSSYCZC,长盛盛裕纯债C,债券型,CHANGSHENGSHENGYUCHUNZHAIC
2338,003105,GDYXHHA,光大永鑫混合A,混合型,GUANGDAYONGXINHUNHEA
2339,003106,GDYXHHC,光大永鑫混合C,混合型,GUANGDAYONGXINHUNHEC
2340,003107,GDAQZQA,光大安祺债券A,债券型,GUANGDAANQIZHAIQUANA
2341,003108,GDAQZQC,光大安祺债券C,债券型,GUANGDAANQIZHAIQUANC
2342,003109,GDAHZQA,光大安和债券A,债券型,GUANGDAANHEZHAIQUANA
2343,003110,GDAHZQC,光大安和债券C,债券型,GUANGDAANHEZHAIQUANC
2344,003115,GDCXHHA,光大诚鑫混合A,混合型,GUANGDACHENGXINHUNHEA
2345,003116,GDCXHHC,光大诚鑫混合C,混合型,GUANGDACHENGXINHUNHEC
2346,003117,GDJXHHA,光大吉鑫混合A,混合型,GUANGDAJIXINHUNHEA
2347,003118,GDJXHHC,光大吉鑫混合C,混合型,GUANGDAJIXINHUNHEC
2348,003119,BSXYHHA,博时鑫源混合A,混合型,BOSHIXINYUANHUNHEA
2349,003120,BSXYHHC,博时鑫源混合C,混合型,BOSHIXINYUANHUNHEC
2350,003121,ZXBCWLZQA,中信保诚稳利债券A,债券型,ZHONGXINBAOCHENGWENLIZHAIQUANA
2351,003123,TZXLCZZQA,天治鑫利纯债债券A,债券型,TIANZHIXINLICHUNZHAIZHAIQUANA
2352,003124,TZXLCZZQC,天治鑫利纯债债券C,债券型,TIANZHIXINLICHUNZHAIZHAIQUANC
2353,003125,ZKWTWXCZJXHHA,中科沃土沃鑫成长精选混合A,混合型,ZHONGKEWOTUWOXINCHENGZHANGJINGXUANHUNHEA
2354,003126,CXYJHHA,长信易进混合A,混合型,CHANGXINYIJINHUNHEA
2355,003127,CXYJHHC,长信易进混合C,混合型,CHANGXINYIJINHUNHEC
2356,003130,ZXBCWLZQC,中信保诚稳利债券C,债券型,ZHONGXINBAOCHENGWENLIZHAIQUANC
2357,003131,GSABQGZZHH,国寿安保强国智造混合,混合型,GUOSHOUANBAOQIANGGUOZHIZAOHUNHE
2358,003132,DBXHBLHPZHH,德邦新回报灵活配置混合,混合型,DEBANGXINHUIBAOLINGHUOPEIZHIHUNHE
2359,003133,YFDYXZQA,易方达裕鑫债券A,债券型,YIFANGDAYUXINZHAIQUANA
2360,003134,YFDYXZQC,易方达裕鑫债券C,债券型,YIFANGDAYUXINZHAIQUANC
2361,003135,JYSAFYZQ,金元顺安沣楹债券,债券型,JINYUANSHUNANFENGYINGZHAIQUAN
2362,003142,PHHDHHA,鹏华弘达混合A,混合型,PENGHUAHONGDAHUNHEA
2363,003143,PHHDHHC,鹏华弘达混合C,混合型,PENGHUAHONGDAHUNHEC
2364,003144,HBXJYHHLOFC,华宝新机遇混合(LOF)C,混合型,HUABAOXINJIYUHUNHELOFC
2365,003145,ZRJZYS,中融竞争优势,股票型,ZHONGRONGJINGZHENGYOUSHI
2366,003146,RTTYZQ,融通通优债券,债券型,RONGTONGTONGYOUZHAIQUAN
2367,003147,DCDTLHHH,大成动态量化混合,混合型,DACHENGDONGTAILIANGHUAHUNHE
2368,003152,HFTXLHPZHHA,华富天鑫灵活配置混合A,混合型,HUAFUTIANXINLINGHUOPEIZHIHUNHEA
